web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,description,brand,image_url-src
"1769346840-1","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Lenovo Légion Pro 7 16IRX9H i9 14Gén 48Go 1To SSD Windows 11","https://spacenet.tn/lenovo-gaming/82888-pc-portable-gamer-lenovo-legion-pro-7-16irx9h-i9-14gen-48go-1to-ssd-windows-11.html","Pc Portable Gamer Lenovo Légion Pro 7 16IRX9H i9 14Gén 48Go 1To SSD Windows 11","12 949,000 DT","Pc Portable Gaming Lenovo Légion Pro 7 16IRX9H - Ecran : 16"" WQXGA IPS, 240 Hz - Processeur : Intel Core i9 14900HX (Up to 5.8 GHz Turbo max, 36 Mo de mémoire cache, 24-Cores) - Système d'exploitation : Windows 11 Famille - Mémoire RAM : 48 Go DDR5 - Disque Dur : 1To SSD - Carte graphique : NVIDIA GeForce RTX 4090 (16Go de mémoire dédiée GDDR6) avec Wi-Fi, Bluetooth, 4x USB-A 3.2 Gen 1, 1x USB-C 3.2 Gen 2, 1x USB-C (Thunderbolt™ 4 / USB4® 40 Gbit/s), 1x HDMI 2.1, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Clavier rétroéclairé RVB par touche (avec lentille d'éclairage) - Caméra FHD 1080p avec obturateur électronique - Haut Parleur et Microphone Intégrée - Couleur : Eclipse Noir - Garantie : 2 ans","Les autres produits : Lenovo","https://spacenet.tn/329124-large_default/pc-portable-gamer-lenovo-legion-pro-7-16irx9h-i9-14gen-48go-1to-ssd-windows-11.jpg"
"1769346842-2","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Lenovo Légion Pro 7 16IRX9H i9 14Gén 32Go 1To SSD Windows 11 Pro","https://spacenet.tn/lenovo-gaming/82883-pc-portable-gamer-lenovo-legion-pro-7-16irx9h-i9-14gen-32go-1to-ssd-windows-11.html","Pc Portable Gamer Lenovo Légion Pro 7 16IRX9H i9 14Gén 32Go 1To SSD Windows 11 Pro","12 549,000 DT","Pc Portable Lenovo Légion Pro 5 16IRX9 - Ecran : 16"" WQXGA IPS, 240 Hz - Processeur : Intel Core i9 14900HX (Up to 5.8 GHz Turbo max, 36 Mo de mémoire cache, 24-Cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 32 Go DDR5 - Disque Dur : 1To SSD - Carte graphique : NVIDIA GeForce RTX 4070 (8Go de mémoire dédiée GDDR6) avec Wi-Fi, Bluetooth, 4x USB-A 3.2 Gen 1, 1x USB-C 3.2 Gen 2, 1x USB-C (Thunderbolt™ 4 / USB4® 40 Gbit/s), 1x HDMI 2.1, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Clavier rétroéclairé RVB 4 zones - Caméra FHD 1080p avec obturateur électronique - Haut Parleur et Microphone Intégrée - Couleur : Noir - Garantie : 2 ans","Les autres produits : Lenovo","https://spacenet.tn/329125-large_default/pc-portable-gamer-lenovo-legion-pro-7-16irx9h-i9-14gen-32go-1to-ssd-windows-11.jpg"
"1769346844-3","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Lenovo Légion Pro 7 16IRX9H i9 14Gén 32Go 1To SSD Windows 11","https://spacenet.tn/lenovo-gaming/81440-pc-portable-gamer-lenovo-legion-pro-7-16irx9h-i9-14gen-32go-1to-ssd-windows-11.html","Pc Portable Gamer Lenovo Légion Pro 7 16IRX9H i9 14Gén 32Go 1To SSD Windows 11","12 489,000 DT","Lenovo Légion Pro 7 16IRX9H - Ecran : 16"" WQXGA IPS, 240 Hz - Processeur : Intel Core i9 14900HX (Up to 5.8 GHz Turbo max, 36 Mo de mémoire cache, 24-Cores) - Système d'exploitation : Windows 11 Famille - Mémoire RAM : 32 Go DDR5 - Disque Dur : 1To SSD - Carte graphique : NVIDIA GeForce RTX 4090 (16Go de mémoire dédiée GDDR6) avec Wi-Fi, Bluetooth, 4x USB-A 3.2 Gen 1, 1x USB-C 3.2 Gen 2, 1x USB-C (Thunderbolt™ 4 / USB4® 40 Gbit/s), 1x HDMI 2.1, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Clavier rétroéclairé RVB par touche (avec lentille d'éclairage) - Caméra FHD 1080p avec obturateur électronique - Haut Parleur et Microphone Intégrée - Couleur : Eclipse Noir - Garantie : 2 ans","Les autres produits : Lenovo","https://spacenet.tn/329115-large_default/pc-portable-gamer-lenovo-legion-pro-7-16irx9h-i9-14gen-32go-1to-ssd-windows-11.jpg"
"1769346847-4","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Gigabyte A16 PRO DYH Intel Core 7 240H 32Go 1To SSD RTX 5080","https://spacenet.tn/pc-gamer-tunisie/93789-pc-portable-gamer-gigabyte-a16-pro-dyh-intel-core-7-240h-32go-1to-ssd-rtx-5080.html","Pc Portable Gamer Gigabyte A16 PRO DYH Intel Core 7 240H 32Go 1To SSD RTX 5080","8 249,000 DT","Pc Portable Gamer Gigabyte A16 PRO DYH  - Écran : 16"" WUXGA, 165Hz - Processeur : Intel Core 7 240H (up to 5.2 GHz Turbo max, 24 Mo de mémoire cache, 10 Cores) - Système d'exploitation : FreeDos - Mémoire RAM : 32 Go  - Disque Dur : 1 To SSD - Carte Graphique : NVIDIA GeForce RTX 5080 (16 Go de mémoire dédiée GDDR7) avec Wi-Fi, Bluetooth ,  2x USB 3.2 Gen1 Type-A, 1x USB 2.0 Type-A, 1x USB 3.2 Gen1 Type-C, 1x HDMI 2.1, 1x RJ-45, 1x entrée CC, 1x prise audio 3,5 mm prenant en charge la combinaison micro/casque - Clavier rétroéclairé RVB à 1 zone, course des touches jusqu'à 1,7 mm - Couleur : Noir - Garantie : 2 ans","Les autres produits : GIGABYTE","https://spacenet.tn/317363-large_default/pc-portable-gamer-gigabyte-a16-pro-dyh-intel-core-7-240h-32go-1to-ssd-rtx-5080.jpg"
"1769346852-5","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Lenovo ThinkPad X1 Carbon G13 Ultra 7 32Go 1To SSD","https://spacenet.tn/pc-portables-pro-tunisie/95906-pc-portable-lenovo-thinkpad-x1-carbon-g13-ultra-7-32go-1to-ssd.html","Pc Portable Lenovo ThinkPad X1 Carbon G13 Ultra 7 32Go 1To SSD","7 819,000 DT","Pc Lenovo ThinkPad X1 Carbon G13 - Ecran : 14"" WUXGA (1920 x 1200), IPS, 500 nits antireflet, 100 % sRGB, 60 Hz - Processeur : Intel® Core Ultra 7 255U (Up to 5.2 GHz, 12 Mo de cache intelligent Intel, 12 cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 32Go DDR5 - Disque Dur : 1To SSD - Carte Graphique : Intel Graphics Intégrée avec Wifi 6E et Bluetooth 5.3, 1x port USB-A (USB 5 Gbit/s / USB 3.2 Gen 1), 1x port USB-A (USB 5 Gbit/s / USB 3.2 Gen 1), 2x ports USB-C PD 3.0, 1x port HDMI® 2.1, 1x prise combo casque/microphone (3,5 mm), 1x emplacement pour carte nano-SIM - 2x Haut-parleur 2W et 2 x microphones intégré - Caméra FHD 1080P IR - Clavier Rétroéclairé Français - Lecteur d'empreintes digitales Style tactile - Couleur : Noir - Garantie : 3 ans","Les autres produits : Lenovo","https://spacenet.tn/334348-large_default/pc-portable-lenovo-thinkpad-x1-carbon-g13-ultra-7-32go-1to-ssd.jpg"
"1769346855-6","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Lenovo ThinkPad P16s Gen3 Ultra 7 32Go 512Go SSD Windows 11 Pro","https://spacenet.tn/pc-portables-pro-tunisie/95726-pc-portable-lenovo-thinkpad-p16s-gen3-ultra-7-32go-512go-ssd-windows-11-pro.html","Pc Portable Lenovo ThinkPad P16s Gen3 Ultra 7 32Go 512Go SSD Windows 11 Pro","7 659,000 DT","Pc Portable Lenovo ThinkPad P16s Gen3 - Ecran : 16"" WUXGA (1920 x 1200) IPS 300 nits antireflet, 45 % NTSC - Processeur : Intel® Core™ Ultra 7 155H ( up to 4.8 GHz, 24 Mo de Mémoire cache, 16 Cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 32 Go DDR5  - Disque Dur : 512 Go SSD - Carte Graphique : NVIDIA® RTX 500 Ada Generation 4 Go GDDR6 avec Wi-Fi 6E, Bluetooth 5.3 - 1x USB-A (USB 5 Gbit/s / USB 3.2 Gen 1), 1x USB-A (USB 5 Gbit/s / USB 3.2 Gen 1), 2x USB-C® (Thunderbolt™ 4 / USB4® 40 Gbit/s), avec USB PD 3.0 et DisplayPort™ 2.1, 1x HDMI® 2.1, 1x prise combinée casque/microphone (3,5 mm), 1x RJ-45, 1x Trou de serrure de sécurité - Haut-parleur et microphone intégrés - Caméra 5MP + IR - Clavier Rétroéclairé Français - Couleur : Noir - Garantie : 3 ans","Les autres produits : Lenovo","https://spacenet.tn/336236-large_default/pc-portable-lenovo-thinkpad-p16s-gen3-ultra-7-32go-512go-ssd-windows-11-pro.jpg"
"1769346859-7","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Lenovo ThinkPad P16s Gen3 Ultra 7 24Go 512Go SSD Windows 11 Pro","https://spacenet.tn/pc-portables-pro-tunisie/95725-pc-portable-lenovo-thinkpad-p16s-gen3-ultra-7-24go-512go-ssd-windows-11-pro.html","Pc Portable Lenovo ThinkPad P16s Gen3 Ultra 7 24Go 512Go SSD Windows 11 Pro","7 459,000 DT","Pc Portable Lenovo ThinkPad P16s Gen3 - Ecran : 16"" WUXGA (1920 x 1200) IPS 300 nits antireflet, 45 % NTSC - Processeur : Intel® Core™ Ultra 7 155H ( up to 4.8 GHz, 24 Mo de Mémoire cache, 16 Cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 24 Go DDR5  - Disque Dur : 512 Go SSD - Carte Graphique : NVIDIA® RTX 500 Ada Generation 4 Go GDDR6 avec Wi-Fi 6E, Bluetooth 5.3 - 1x USB-A (USB 5 Gbit/s / USB 3.2 Gen 1), 1x USB-A (USB 5 Gbit/s / USB 3.2 Gen 1), 2x USB-C® (Thunderbolt™ 4 / USB4® 40 Gbit/s), avec USB PD 3.0 et DisplayPort™ 2.1, 1x HDMI® 2.1, 1x prise combinée casque/microphone (3,5 mm), 1x RJ-45, 1x Trou de serrure de sécurité - Haut-parleur et microphone intégrés - Caméra 5MP + IR - Clavier Rétroéclairé Français - Couleur : Noir - Garantie : 3 ans","Les autres produits : Lenovo","https://spacenet.tn/336235-large_default/pc-portable-lenovo-thinkpad-p16s-gen3-ultra-7-24go-512go-ssd-windows-11-pro.jpg"
"1769346861-8","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Lenovo ThinkPad P16s Gen3 Ultra 7 16Go 512Go SSD Windows 11 Pro","https://spacenet.tn/pc-portables-pro-tunisie/89011-pc-portable-lenovo-thinkpad-p16s-gen3-ultra-7-16go-512go-ssd-windows-11.html","Pc Portable Lenovo ThinkPad P16s Gen3 Ultra 7 16Go 512Go SSD Windows 11 Pro","7 199,000 DT","Pc Portable Lenovo ThinkPad P16s Gen3 - Ecran : 16"" WUXGA (1920 x 1200) IPS 300 nits antireflet, 45 % NTSC - Processeur : Intel® Core™ Ultra 7 155H ( up to 4.8 GHz, 24 Mo de Mémoire cache, 16 Cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 16 Go DDR5  - Disque Dur : 512 Go SSD - Carte Graphique : NVIDIA® RTX 500 Ada Generation 4 Go GDDR6 avec Wi-Fi 6E, Bluetooth 5.3 - 1x USB-A (USB 5 Gbit/s / USB 3.2 Gen 1), 1x USB-A (USB 5 Gbit/s / USB 3.2 Gen 1), 2x USB-C® (Thunderbolt™ 4 / USB4® 40 Gbit/s), avec USB PD 3.0 et DisplayPort™ 2.1, 1x HDMI® 2.1, 1x prise combinée casque/microphone (3,5 mm), 1x RJ-45, 1x Trou de serrure de sécurité - Haut-parleur et microphone intégrés - Caméra 5MP + IR - Clavier Rétroéclairé Français - Couleur : Noir - Garantie : 3 ans","Les autres produits : Lenovo","https://spacenet.tn/336237-large_default/pc-portable-lenovo-thinkpad-p16s-gen3-ultra-7-16go-512go-ssd-windows-11.jpg"
"1769346863-9","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Dell Alienware 16 Aurora AC16250 Core 9 32Go 1To SSD Windows 11 Pro","https://spacenet.tn/pc-portable-gamer-tunisie/95660-pc-portable-gamer-dell-alienware-16-aurora-ac16250-core-9-32go-1to-ssd-windows-11.html","Pc Portable Gamer Dell Alienware 16 Aurora AC16250 Core 9 32Go 1To SSD Windows 11 Pro","6 759,000 DT","Pc Portable Gamer Dell Alienware 16 Aurora AC16250 - Ecran : 16"" FHD (2560 x 1600px) IPS, 120Hz, 300 nits, 100 % sRGB - Processeur : Intel® Core™ 9 270H (2.00 GHz up to 5.80 GHz Turbo max, 24 Mo de mémoire cache, 14 Cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 32 Go DDR5 - Disque Dur : 1 To SSD - Carte Graphique : Nvidia GeForce RTX 5070 (8 Go de mémoire dédiée GDDR7) avec Wifi 7, Bluetooth 5.3, 2x USB Type-A 3.2 (Gen1), 2x USB Type-C 3.2 (Gen2), 1x HDMI 2.1, 1x port Ethernet RJ45, 1x prise audio universelle (RCA, 3,5 mm), 1x port pour adaptateur secteur - Clavier Rétroéclairé Blanc Alienware Français - Webcam HD 720p - Microphones à double matrice - Couleur : Bleu - Garantie : 1 an","Les autres produits : Dell","https://spacenet.tn/332624-large_default/pc-portable-gamer-dell-alienware-16-aurora-ac16250-core-9-32go-1to-ssd-windows-11.jpg"
"1769346866-10","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Lenovo ThinkPad X9-15 Gen1 Ultra 7 16Go 1To SSD Windows 11 Pro","https://spacenet.tn/pc-portables-pro-tunisie/96021-pc-portable-lenovo-thinkpad-x9-15-gen1-ultra-7-16go-1to-ssd-windows-11-pro.html","Pc Portable Lenovo ThinkPad X9-15 Gen1 Ultra 7 16Go 1To SSD Windows 11 Pro","6 749,000 DT","Pc Portable Lenovo ThinkPad X9-15 Gen1  - Ecran: OLED 15.3"" 2,8K (2880 x 1800) IPS 500 nits, antireflet/anti-traces de doigts,  100 % DCI-P3, VRR 30-120 Hz, DisplayHDR True Black 600, Dolby Vision, tactile - Processeur : Intel Core Ultra 7 258 V ( Up to 4.8 GHz, 12 Mo de Mémoire cache Intelligent Intel , 8 Cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 16 Go DDR5 - Disque Dur : 1To SSD - Carte Graphique : Intégrée Intel Arc 140 V avec Wi-Fi 7, Bluetooth 5.4 - 1 port USB-A (USB 10 Gbit/s / USB 3.2 Gen 2), alimentation permanente ,2 ports USB-C (Thunderbolt 4 / USB4 40 Gbit/s), avec USB PD 3.0 et DisplayPort 2.1, 1 port HDMI 2.1, jusqu'à 4K/60 Hz, 1 prise combo casque/microphone (3,5 mm) - Haut-parleurs stéréo, 2 woofers de 2 W et 2 tweeters de 2 W, Dolby Atmos et 2 microphones intégrés - Caméra UHD 8 MP avec grand capteur + IR discret, obturateur électronique, capteur ToF, MIPI - Clavier Rétroéclairé Français - Couleur : Gris - Garantie : 3 ans","Les autres produits : Lenovo","https://spacenet.tn/335025-large_default/pc-portable-lenovo-thinkpad-x9-15-gen1-ultra-7-16go-1to-ssd-windows-11-pro.jpg"
"1769346868-11","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Dell Alienware 16 Aurora AC16250 Core 9 32Go 1To SSD","https://spacenet.tn/pc-portable-gamer-tunisie/93280-pc-portable-gamer-dell-alienware-16-aurora-ac16250-core-9-32go-1to-ssd.html","Pc Portable Gamer Dell Alienware 16 Aurora AC16250 Core 9 32Go 1To SSD","6 689,000 DT","Pc Portable Gamer Dell Alienware 16 Aurora AC16250 - Ecran : 16"" FHD (2560 x 1600px) IPS, 120Hz, 300 nits, 100 % sRGB - Processeur : Intel® Core™ 9 270H (2.00 GHz up to 5.80 GHz Turbo max, 24 Mo de mémoire cache, 14 Cores) - Système d'exploitation : Ubuntu - Mémoire RAM : 32 Go DDR5 - Disque Dur : 1 To SSD - Carte Graphique : Nvidia GeForce RTX 5070 (8 Go de mémoire dédiée GDDR7) avec Wifi 7, Bluetooth 5.3, 2x USB Type-A 3.2 (Gen1), 2x USB Type-C 3.2 (Gen2), 1x HDMI 2.1, 1x port Ethernet RJ45, 1x prise audio universelle (RCA, 3,5 mm), 1x port pour adaptateur secteur - Clavier Rétroéclairé Blanc Alienware Français - Webcam HD 720p - Microphones à double matrice - Couleur : Bleu - Garantie : 1 an","Les autres produits : Dell","https://spacenet.tn/314513-large_default/pc-portable-gamer-dell-alienware-16-aurora-ac16250-core-9-32go-1to-ssd.jpg"
"1769346870-12","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Gigabyte A16 PRO DXH Intel Core 7 240H 32Go 1To SSD RTX 5070 Ti","https://spacenet.tn/gigabyte-gaming/93783-pc-portable-gamer-gigabyte-a16-pro-dxh-intel-core-7-240h-32go-1to-ssd-rtx-5070ti.html","Pc Portable Gamer Gigabyte A16 PRO DXH Intel Core 7 240H 32Go 1To SSD RTX 5070 Ti","6 359,000 DT","Pc Portable Gamer Gigabyte A16 PRO DXH  - Écran : 16"" WUXGA, 165Hz - Processeur : Intel Core 7 240H (up to 5.2 GHz Turbo max, 24 Mo de mémoire cache, 10 Cores) - Système d'exploitation : FreeDos - Mémoire RAM : 32 Go  - Disque Dur : 1 To SSD - Carte Graphique : NVIDIA GeForce RTX 5070 Ti (12 Go de mémoire dédiée GDDR7) avec Wi-Fi, Bluetooth ,  2x USB 3.2 Gen1 Type-A, 1x USB 2.0 Type-A, 1x USB 3.2 Gen1 Type-C, 1x HDMI 2.1, 1x RJ-45, 1x entrée CC, 1x prise audio 3,5 mm prenant en charge la combinaison micro/casque - Clavier rétroéclairé RVB à 1 zone, course des touches jusqu'à 1,7 mm - Couleur : Noir - Garantie : 2 ans","Les autres produits : GIGABYTE","https://spacenet.tn/317289-large_default/pc-portable-gamer-gigabyte-a16-pro-dxh-intel-core-7-240h-32go-1to-ssd-rtx-5070ti.jpg"
"1769346872-13","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Lenovo Légion Pro 5 16IAX10 Ultra 7 32Go 1To SSD Windows 11 Pro","https://spacenet.tn/lenovo-gaming/94844-pc-portable-lenovo-legion-pro-5-16iax10-ultra-7-32go-1to-ssd-windows-11-pro.html","Pc Portable Lenovo Légion Pro 5 16IAX10 Ultra 7 32Go 1To SSD Windows 11 Pro","6 219,000 DT","Pc Portable Lenovo Légion Pro 5 16IAX10 - Ecran : 16"" OLED WQXGA (2560 x 1600) IPS, 500 nits Anti-reflet, 100% DCI-P3, 165Hz - Processeur : Intel® Core Ultra 7 255HX (Up to 5.2 GHz, 30Mo de mémoire cache Smart, 20 cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 32 Go (2x16Go) DDR5 - Disque Dur : 1 To SSD - Carte Graphique : NVIDIA® GeForce RTX™ 5060 8Go GDDR7 avec Wifi 7 et Bluetooth 5.4, 2x USB-A (3.2 Gen 1), 1x USB-A (3.2 Gen 2), 2x USB-C (3.2 Gen 2), 1x HDMI 2.1 up to 8K/60Hz, 1x prise combinée casque/microphone (3,5 mm), 1x Ethernet (RJ-45), 1x connecteur d'alimentation - 2x Haut-parleurs stéréo, 2 W - 2x Microphones - Clavier français/arabe, rétroéclairage RVB 24 zones - Caméra 5,0 MP avec obturateur électronique - Couleur : Noir - Garantie : 2 ans","Les autres produits : Lenovo","https://spacenet.tn/325726-large_default/pc-portable-lenovo-legion-pro-5-16iax10-ultra-7-32go-1to-ssd-windows-11-pro.jpg"
"1769346877-14","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Lenovo Légion Pro 5 16IAX10 Ultra 7 32Go 1To SSD","https://spacenet.tn/lenovo-gaming/91916-pc-portable-lenovo-legion-pro-5-16iax10-ultra-7-32go-1to-ssd.html","Pc Portable Lenovo Légion Pro 5 16IAX10 Ultra 7 32Go 1To SSD","6 159,000 DT","Pc Portable Lenovo Légion Pro 5 16IAX10 - Ecran : 16"" OLED WQXGA (2560 x 1600) IPS, 500 nits Anti-reflet, 100% DCI-P3, 165Hz - Processeur : Intel® Core Ultra 7 255HX (Up to 5.2 GHz, 30Mo de mémoire cache Smart, 20 cores) - Système d'exploitation : Windows 11 Famille - Mémoire RAM : 32 Go (2x16Go) DDR5 - Disque Dur : 1 To SSD - Carte Graphique : NVIDIA® GeForce RTX™ 5060 8Go GDDR7 avec Wifi 7 et Bluetooth 5.4, 2x USB-A (3.2 Gen 1), 1x USB-A (3.2 Gen 2), 2x USB-C (3.2 Gen 2), 1x HDMI 2.1 up to 8K/60Hz, 1x prise combinée casque/microphone (3,5 mm), 1x Ethernet (RJ-45), 1x connecteur d'alimentation - 2x Haut-parleurs stéréo, 2 W - 2x Microphones - Clavier français/arabe, rétroéclairage RVB 24 zones - Caméra 5,0 MP avec obturateur électronique - Couleur : Noir - Garantie : 2 ans","Les autres produits : Lenovo","https://spacenet.tn/302534-large_default/pc-portable-lenovo-legion-pro-5-16iax10-ultra-7-32go-1to-ssd.jpg"
"1769346880-15","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Dell Alienware 16X Aurora AC16251 Ultra 7 32Go 1To SSD Windows 11 Pro","https://spacenet.tn/dell-gaming/95661-pc-portable-gamer-dell-alienware-16x-aurora-ac16251-ultra-7-32go-1to-ssd-windows-11-pro.html","Pc Portable Gamer Dell Alienware 16X Aurora AC16251 Ultra 7 32Go 1To SSD Windows 11 Pro","6 159,000 DT","Pc Portable Gamer Dell Alienware 16X Aurora AC16251 - Ecran : 16"" FHD (2560 x 1600px) IPS, 240Hz - Processeur : Intel® Core™ Ultra 7 255HX (1.80 GHz up to 5.20 GHz Turbo max, 30 Mo de mémoire cache, 20 Cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 32 Go DDR5 - Disque Dur : 1 To SSD - Carte Graphique : Nvidia GeForce RTX 5060 (8 Go de mémoire dédiée GDDR7) avec Wifi 7, Bluetooth 5.4, 2x USB-A 3.2 Gen 1, 1x USB Type-C 3.2 Gen 2, 1x USB Type-C, 1x Thunderbolt 4, DisplayPort, 1x HDMI 2.1, 1x Prise audio 3.5mm Combo Jack, 1x port RJ45, 1x port pour adaptateur secteur - Clavier Rétroéclairé RGB Français avec Pavé tactile multipoint - Webcam FHD RVB HDR 1080p - Microphones à double matrice - Couleur : Bleu - Garantie : 1 an","Les autres produits : Dell","https://spacenet.tn/332630-large_default/pc-portable-gamer-dell-alienware-16x-aurora-ac16251-ultra-7-32go-1to-ssd-windows-11-pro.jpg"
"1769346882-16","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=37","Pc Portable Gamer Dell Alienware 16X Aurora AC16251 Ultra 7 32Go 1To SSD Windows 11","https://spacenet.tn/dell-gaming/93327-pc-portable-gamer-dell-alienware-16x-aurora-ac16251-ultra-7-32go-1to-ssd-windows-11.html","Pc Portable Gamer Dell Alienware 16X Aurora AC16251 Ultra 7 32Go 1To SSD Windows 11","6 099,000 DT","Pc Portable Gamer Dell Alienware 16X Aurora AC16251 - Ecran : 16"" FHD (2560 x 1600px) IPS, 240Hz - Processeur : Intel® Core™ Ultra 7 255HX (1.80 GHz up to 5.20 GHz Turbo max, 30 Mo de mémoire cache, 20 Cores) - Système d'exploitation : Windows 11 Famille - Mémoire RAM : 32 Go DDR5 - Disque Dur : 1 To SSD - Carte Graphique : Nvidia GeForce RTX 5060 (8 Go de mémoire dédiée GDDR7) avec Wifi 7, Bluetooth 5.4, 2x USB-A 3.2 Gen 1, 1x USB Type-C 3.2 Gen 2, 1x USB Type-C, 1x Thunderbolt 4, DisplayPort, 1x HDMI 2.1, 1x Prise audio 3.5mm Combo Jack, 1x port RJ45, 1x port pour adaptateur secteur - Clavier Rétroéclairé RGB Français avec Pavé tactile multipoint - Webcam FHD RVB HDR 1080p - Microphones à double matrice - Couleur : Bleu - Garantie : 1 an","Les autres produits : Dell","https://spacenet.tn/314680-large_default/pc-portable-gamer-dell-alienware-16x-aurora-ac16251-ultra-7-32go-1to-ssd-windows-11.jpg"
